Date,Type,Ticker,Shares,Price,Amount
2022-01-17,BUY,096770.KS,11,246520.828125,2711729.109375
2022-01-17,BUY,105560.KS,54,51152.37109375,2762228.0390625
2022-01-17,BUY,005380.KS,16,170842.203125,2733475.25
2022-01-17,BUY,086790.KS,79,35316.34765625,2789991.46484375
2022-02-18,SELL,030200.KS,109,26365.326171875,2873820.552734375
2022-02-18,SELL,068270.KS,20,137470.875,2749417.5
2022-02-18,SELL,066570.KS,20,119494.046875,2389880.9375
2022-02-18,SELL,096770.KS,11,195821.25,2154033.75
2022-02-18,SELL,105560.KS,54,53241.93359375,2875064.4140625
2022-02-18,SELL,005380.KS,16,152924.625,2446794.0
2022-02-18,SELL,086790.KS,79,40797.8203125,3223027.8046875
2022-02-18,BUY,034020.KS,146,18500.0,2701000.0
2022-02-18,BUY,015760.KS,121,22364.029296875,2706047.544921875
2022-02-18,BUY,009830.KS,76,35515.29296875,2699162.265625
2022-02-18,BUY,086790.KS,66,40797.8203125,2692656.140625
2022-02-18,BUY,105560.KS,50,53241.93359375,2662096.6796875
2022-02-18,BUY,055550.KS,78,34365.1640625,2680482.796875
2022-02-18,BUY,030200.KS,102,26365.326171875,2689263.26953125
2022-03-23,SELL,034020.KS,146,21850.0,3190100.0
2022-03-23,SELL,015760.KS,121,22858.80859375,2765915.83984375
2022-03-23,SELL,009830.KS,76,38856.640625,2953104.6875
2022-03-23,SELL,086790.KS,66,38644.390625,2550529.78125
2022-03-23,SELL,105560.KS,50,51068.7890625,2553439.453125
2022-03-23,SELL,055550.KS,78,33073.86328125,2579761.3359375
2022-03-23,SELL,030200.KS,102,28049.09375,2861007.5625
2022-03-23,BUY,005490.KS,9,270436.625,2433929.625
2022-03-23,BUY,030200.KS,87,28049.09375,2440271.15625
2022-03-23,BUY,035720.KS,23,106108.0625,2440485.4375
2022-03-23,BUY,034020.KS,112,21850.0,2447200.0
2022-03-23,BUY,006400.KS,4,515977.15625,2063908.625
2022-03-23,BUY,105560.KS,48,51068.7890625,2451301.875
2022-03-23,BUY,000660.KS,20,118771.703125,2375434.0625
2022-03-23,BUY,035420.KS,7,340225.875,2381581.125
2022-04-21,SELL,005490.KS,9,267396.28125,2406566.53125
2022-04-21,SELL,030200.KS,87,29856.060546875,2597477.267578125
2022-04-21,SELL,035720.KS,23,93255.5390625,2144877.3984375
2022-04-21,SELL,034020.KS,112,21750.0,2436000.0
2022-04-21,SELL,006400.KS,4,605280.875,2421123.5
2022-04-21,SELL,105560.KS,48,50819.4453125,2439333.375
2022-04-21,SELL,000660.KS,20,108946.0625,2178921.25
2022-04-21,SELL,035420.KS,7,304775.375,2133427.625
2022-04-21,BUY,005490.KS,9,267396.28125,2406566.53125
